delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
470221.000,578738.000,80764.000,133167.000,128916.000,72410.000,34957.000,22261.000,67.000,77.000,8.000,0.000
870243.000,223590.000,25503.000,47581.000,34836.000,23598.000,11494.000,3994.000,51.000,60.000,646.000,0.000
626979.000,161947.000,37858.000,22720.000,43730.000,24167.000,10547.000,2766.000,38.000,67.000,-308.000,0.000
1544612.000,429631.000,91138.000,113494.000,221290.000,89841.000,17252.000,3357.000,34.000,51.000,74.000,0.000
602625.000,324454.000,351797.000,125902.000,195678.000,81349.000,21591.000,14435.000,43.000,60.000,115.000,0.000
668591.000,100588.000,22074.000,6128.000,12739.000,20428.000,11589.000,2280.000,44.000,74.000,1801.000,0.000
106857.000,13304.000,1713.000,402.000,1349.000,945.000,1027.000,1292.000,44.000,74.000,-1326.000,0.000
1057632.000,81296.000,9982.000,19173.000,17412.000,18190.000,4882.000,3270.000,44.000,74.000,38.000,0.000
1017277.000,417343.000,59921.000,172825.000,54918.000,157144.000,35877.000,17951.000,44.000,74.000,216.000,0.000
1593165.000,132825.000,33638.000,68671.000,84169.000,64775.000,11483.000,10021.000,44.000,74.000,311.000,0.000
547358.000,47679.000,28552.000,187881.000,145294.000,195298.000,115643.000,5924.000,44.000,74.000,-571.000,0.000
921009.000,45682.000,39748.000,30500.000,32206.000,56982.000,6740.000,3112.000,44.000,74.000,6.000,0.000
2218887.000,672072.000,127347.000,103511.000,135102.000,206762.000,157927.000,33679.000,44.000,74.000,261.000,0.000
838460.000,182606.000,17715.000,7654.000,15112.000,18103.000,8574.000,7536.000,44.000,74.000,-402.000,0.000
684565.000,153610.000,8957.000,3236.000,4196.000,13244.000,3385.000,2761.000,48.000,63.000,1034.000,0.000
165455.000,20054.000,15736.000,8141.000,6555.000,2268.000,1970.000,231.000,41.000,47.000,-198.000,0.000
1168443.000,318118.000,63430.000,87422.000,119449.000,46259.000,8044.000,6922.000,24.000,60.000,196.000,0.000
1155542.000,269332.000,28418.000,38010.000,73412.000,37071.000,8703.000,4894.000,24.000,48.000,8.000,0.000
126139.000,38466.000,22878.000,16585.000,9911.000,29147.000,8584.000,7166.000,29.000,54.000,-42.000,0.000
1842607.000,218608.000,35307.000,26101.000,18657.000,57024.000,10077.000,1673.000,56.000,80.000,520.000,0.000
311342.000,535634.000,51050.000,61049.000,81332.000,254104.000,128640.000,127311.000,78.000,64.000,-147.000,0.000
595988.000,52513.000,26226.000,9188.000,7394.000,8603.000,3443.000,2401.000,78.000,64.000,219.000,0.000
746984.000,188008.000,119880.000,33622.000,177980.000,162826.000,54726.000,39286.000,78.000,69.000,1832.000,0.000
961615.000,295207.000,61055.000,57167.000,42616.000,62394.000,23048.000,24979.000,97.000,74.000,-531.000,0.000
1000200.000,101966.000,12622.000,17453.000,25315.000,10413.000,558.000,1380.000,97.000,74.000,-583.000,0.000
903720.000,119122.000,9614.000,4080.000,12967.000,42770.000,7219.000,2979.000,67.000,63.000,-102.000,0.000
665758.000,83700.000,37860.000,43554.000,19800.000,7797.000,3702.000,928.000,67.000,63.000,-295.000,0.000
584372.000,40958.000,6006.000,14778.000,9074.000,12807.000,2289.000,3840.000,44.000,78.000,-2048.000,0.000
486800.000,39939.000,87196.000,92376.000,113154.000,79194.000,48386.000,17336.000,53.000,74.000,226.000,0.000
1215243.000,211296.000,62275.000,21466.000,31515.000,17700.000,3869.000,2122.000,53.000,74.000,5.000,0.000
802218.000,105983.000,20983.000,19803.000,13413.000,9697.000,5808.000,3796.000,20.000,75.000,28.000,0.000
2077600.000,28535.000,14584.000,6735.000,2244.000,10801.000,1538.000,354.000,17.000,80.000,-39.000,0.000
3281902.000,278536.000,115246.000,87492.000,125154.000,46887.000,17834.000,5356.000,17.000,80.000,34.000,0.000
306658.000,92302.000,8954.000,11717.000,19909.000,5377.000,4070.000,3072.000,29.000,74.000,-138.000,0.000
2067277.000,437418.000,137823.000,139201.000,127760.000,38222.000,28285.000,6394.000,7.000,66.000,112.000,0.000
305801.000,112816.000,50950.000,75859.000,28966.000,16873.000,14416.000,4473.000,7.000,69.000,-179.000,0.000
1166651.000,205885.000,194342.000,105475.000,87691.000,73440.000,13712.000,6475.000,8.000,83.000,-129.000,0.000
48661.000,9561.000,3085.000,7218.000,217.000,2195.000,1654.000,1263.000,14.000,91.000,156.000,0.000
3641781.000,207378.000,23471.000,27588.000,38021.000,17003.000,25308.000,4202.000,27.000,100.000,51.000,0.000
1501350.000,40296.000,12982.000,35480.000,18678.000,14447.000,2840.000,1133.000,27.000,100.000,906.000,0.000
428374.000,10134.000,3507.000,1765.000,1505.000,1454.000,820.000,205.000,27.000,100.000,243.000,0.000
577825.000,119530.000,46972.000,50044.000,38431.000,97270.000,8946.000,10611.000,35.000,100.000,1506.000,0.000
1155487.000,23450.000,7491.000,6441.000,2663.000,2455.000,857.000,767.000,35.000,100.000,-258.000,0.000
586689.000,203615.000,2777.000,30772.000,15449.000,38038.000,17988.000,18320.000,35.000,100.000,-858.000,0.000
459495.000,32728.000,4736.000,4360.000,6739.000,7034.000,1645.000,1123.000,35.000,100.000,-186.000,0.000
1742160.000,486628.000,211574.000,34405.000,76251.000,49415.000,11527.000,2627.000,35.000,100.000,873.000,0.000
1845767.000,149236.000,31895.000,30503.000,17005.000,24521.000,4959.000,697.000,34.000,100.000,-145.000,0.000
1466005.000,88405.000,71408.000,17694.000,34599.000,20747.000,11437.000,3891.000,34.000,100.000,-2.000,0.000
785229.000,72167.000,16583.000,21394.000,16522.000,23291.000,2698.000,3137.000,30.000,97.000,-58.000,0.000
