delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
347330.000,27876.000,44198.000,88346.000,10952.000,8263.000,943.000,397.000,44.000,67.000,192.000,0.000
1218442.000,246108.000,92546.000,35881.000,50905.000,54873.000,15613.000,11386.000,43.000,97.000,-329.000,0.000
724661.000,99882.000,10596.000,18740.000,17742.000,13001.000,1844.000,987.000,43.000,88.000,35.000,0.000
219354.000,196730.000,27042.000,191268.000,37201.000,19397.000,7152.000,3274.000,53.000,67.000,19.000,0.000
396626.000,83366.000,61910.000,13940.000,32832.000,14628.000,7104.000,3114.000,47.000,69.000,99.000,0.000
411381.000,364250.000,138835.000,35124.000,69980.000,35887.000,9920.000,1950.000,54.000,51.000,131.000,0.000
687359.000,304600.000,4815.000,11203.000,23104.000,28471.000,5976.000,5027.000,41.000,51.000,-277.000,0.000
1991945.000,231125.000,54374.000,29390.000,75227.000,41474.000,19238.000,12424.000,41.000,37.000,66.000,0.000
438305.000,405302.000,28796.000,62619.000,21231.000,16813.000,10539.000,4209.000,54.000,24.000,113.000,0.000
219337.000,151349.000,82568.000,41814.000,34960.000,18258.000,11209.000,3153.000,41.000,14.000,57.000,0.000
202163.000,87066.000,15195.000,64801.000,63495.000,62672.000,5223.000,2546.000,41.000,23.000,8.000,0.000
1431678.000,67164.000,96375.000,13191.000,33621.000,16360.000,10896.000,6189.000,61.000,41.000,48.000,0.000
1410073.000,366957.000,196812.000,81054.000,53277.000,26970.000,29094.000,10912.000,56.000,54.000,117.000,0.000
131636.000,103784.000,103440.000,76175.000,22810.000,9945.000,15656.000,2185.000,60.000,66.000,32.000,0.000
736023.000,228794.000,128871.000,214029.000,31849.000,14310.000,6098.000,2911.000,51.000,74.000,99.000,0.000
883042.000,103610.000,48450.000,96998.000,35924.000,15721.000,7444.000,2856.000,13.000,84.000,-13.000,0.000
1241670.000,55219.000,177203.000,209931.000,18760.000,8613.000,6701.000,2277.000,7.000,84.000,121.000,0.000
