623643.000,152365.000,432939.000,21846.000,41624.000,66863.000,52980.000,22900.000,51.000,63.000,203.000,0.000
556467.000,30075.000,11922.000,1080.000,3195.000,5165.000,1742.000,959.000,64.000,74.000,76.000,0.000
929794.000,193659.000,28085.000,41981.000,40759.000,15314.000,25292.000,5818.000,81.000,75.000,92.000,0.000
482003.000,133236.000,25862.000,32978.000,21114.000,13964.000,14572.000,10153.000,74.000,69.000,118.000,0.000
1398564.000,69007.000,15451.000,20958.000,25171.000,21587.000,6861.000,2856.000,78.000,56.000,106.000,0.000
254237.000,40916.000,123516.000,51339.000,43442.000,22804.000,5120.000,3064.000,88.000,40.000,91.000,0.000
291610.000,67590.000,34654.000,17964.000,18936.000,14796.000,6455.000,3102.000,84.000,54.000,2.000,0.000
194880.000,121879.000,37362.000,88606.000,28248.000,8270.000,6226.000,2315.000,97.000,61.000,0.000,0.000
479998.000,65481.000,34933.000,46583.000,19873.000,16720.000,9392.000,4831.000,87.000,69.000,-40.000,0.000
853477.000,36685.000,13169.000,13634.000,5032.000,5362.000,1921.000,291.000,78.000,80.000,88.000,0.000
136665.000,13564.000,14560.000,39260.000,6215.000,7588.000,2596.000,476.000,75.000,69.000,165.000,0.000
257965.000,42870.000,27738.000,41823.000,17554.000,7916.000,7650.000,1963.000,70.000,83.000,-260.000,0.000
460743.000,446129.000,15300.000,156236.000,25981.000,16473.000,4841.000,4500.000,83.000,84.000,59.000,0.000
87980.000,73217.000,17362.000,8570.000,3340.000,5662.000,1581.000,407.000,61.000,78.000,20.000,0.000
584462.000,216010.000,53958.000,83067.000,11354.000,15152.000,2820.000,3818.000,56.000,69.000,97.000,0.000
96658.000,28479.000,3600.000,25743.000,7964.000,5681.000,1537.000,510.000,43.000,57.000,-209.000,0.000
1806495.000,183246.000,141492.000,97115.000,8799.000,14042.000,5246.000,4102.000,47.000,54.000,132.000,0.000
878237.000,8511.000,18442.000,13904.000,9126.000,4467.000,1007.000,319.000,50.000,67.000,42.000,0.000
661875.000,72473.000,11667.000,27065.000,5699.000,18613.000,4292.000,1733.000,60.000,84.000,-2.000,0.000
1237202.000,136772.000,41646.000,30921.000,14873.000,12583.000,2533.000,1114.000,81.000,81.000,405.000,0.000
209464.000,12976.000,8575.000,3356.000,2183.000,3851.000,2049.000,596.000,75.000,77.000,11.000,0.000
384231.000,1034327.000,112203.000,45132.000,9710.000,70567.000,30904.000,17505.000,97.000,67.000,1387.000,0.000
1043853.000,34004.000,6133.000,5085.000,3010.000,1532.000,511.000,542.000,88.000,44.000,146.000,0.000
1906285.000,67080.000,15504.000,23536.000,58199.000,26230.000,15687.000,9961.000,88.000,44.000,-26.000,0.000
