delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
483624.000,35577.000,761.000,27871.000,7083.000,5333.000,3529.000,803.000,81.000,100.000,-6.000,0.000
360276.000,67055.000,18506.000,5795.000,14992.000,5729.000,4349.000,2498.000,81.000,100.000,4.000,0.000
32181.000,7344.000,1624.000,2443.000,1073.000,918.000,426.000,401.000,80.000,93.000,64.000,0.000
138243.000,13464.000,16599.000,7222.000,12031.000,7095.000,982.000,2038.000,61.000,75.000,5.000,0.000
305441.000,129261.000,39173.000,30737.000,25385.000,13676.000,6459.000,1884.000,70.000,66.000,33.000,0.000
840714.000,111598.000,67748.000,67604.000,31073.000,10339.000,4436.000,3801.000,67.000,63.000,215.000,0.000
169885.000,41504.000,1017.000,13585.000,1259.000,5719.000,3766.000,349.000,60.000,77.000,-206.000,0.000
1129815.000,77126.000,14134.000,60584.000,18754.000,25679.000,16215.000,5868.000,64.000,74.000,86.000,0.000
594607.000,188304.000,45813.000,13501.000,23237.000,40646.000,7598.000,18387.000,63.000,74.000,-178.000,0.000
769041.000,52075.000,7676.000,10685.000,4639.000,5131.000,2020.000,1309.000,77.000,66.000,45.000,0.000
1181060.000,307646.000,79313.000,59680.000,20599.000,23758.000,13862.000,5574.000,88.000,53.000,224.000,0.000
842065.000,114304.000,29870.000,27246.000,55620.000,27722.000,15875.000,8767.000,75.000,56.000,28.000,0.000
592885.000,56558.000,25321.000,3139.000,19837.000,8211.000,3924.000,1743.000,75.000,47.000,221.000,0.000
235172.000,58719.000,54580.000,72446.000,25619.000,105133.000,18958.000,3331.000,69.000,51.000,22.000,0.000
827063.000,369824.000,43488.000,47854.000,21934.000,49687.000,8989.000,6775.000,88.000,61.000,208.000,0.000
54329.000,12335.000,4279.000,7667.000,9157.000,6046.000,4003.000,1972.000,93.000,53.000,97.000,0.000
653956.000,167784.000,24418.000,132208.000,18476.000,22603.000,21913.000,5264.000,90.000,57.000,51.000,0.000
394726.000,295605.000,13065.000,66714.000,29638.000,39785.000,18316.000,4388.000,77.000,66.000,-35.000,0.000
245015.000,159918.000,28259.000,19998.000,29363.000,46132.000,13187.000,3637.000,54.000,54.000,-23.000,0.000
1142217.000,206054.000,12002.000,51596.000,5656.000,11322.000,10344.000,4358.000,66.000,53.000,76.000,0.000
65239.000,28200.000,890.000,5971.000,10264.000,4209.000,3412.000,1323.000,41.000,50.000,-5.000,0.000
672795.000,58525.000,27862.000,88410.000,31109.000,26689.000,8058.000,8344.000,48.000,35.000,73.000,0.000
570847.000,18656.000,13505.000,22452.000,26867.000,13011.000,10915.000,6688.000,54.000,50.000,3.000,0.000
910947.000,100680.000,96395.000,37281.000,26161.000,34159.000,15007.000,10970.000,54.000,61.000,128.000,0.000
156438.000,72835.000,1753.000,889.000,8183.000,7565.000,4808.000,2275.000,70.000,74.000,-53.000,0.000
550329.000,46788.000,15639.000,23704.000,2104.000,9522.000,3646.000,2068.000,67.000,60.000,108.000,0.000
284932.000,6209.000,3354.000,27002.000,3884.000,3494.000,2547.000,873.000,63.000,56.000,135.000,0.000
