delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
281849.000,13532.000,10206.000,4234.000,11415.000,13194.000,5475.000,3733.000,77.000,50.000,16.000,0.000
81215.000,209838.000,38413.000,12286.000,9290.000,32263.000,9730.000,5303.000,90.000,47.000,23.000,0.000
227901.000,85037.000,15678.000,30243.000,51840.000,16533.000,14268.000,3367.000,84.000,35.000,64.000,0.000
103287.000,117347.000,72710.000,34239.000,27020.000,29105.000,12759.000,5255.000,84.000,30.000,-349.000,0.000
1050470.000,33144.000,4912.000,6691.000,8685.000,9025.000,2125.000,992.000,81.000,40.000,5.000,0.000
121264.000,2368.000,787.000,1551.000,2487.000,3827.000,584.000,295.000,74.000,34.000,41.000,0.000
218736.000,68064.000,141490.000,56357.000,48664.000,14317.000,9075.000,3592.000,90.000,38.000,-133.000,0.000
243460.000,92248.000,31857.000,24692.000,20829.000,23049.000,11586.000,5408.000,78.000,56.000,-146.000,0.000
265203.000,18352.000,27113.000,20946.000,36237.000,17529.000,9455.000,3856.000,78.000,50.000,104.000,0.000
70478.000,3594.000,2206.000,557.000,1647.000,1588.000,498.000,296.000,80.000,61.000,38.000,0.000
950073.000,14144.000,7062.000,7604.000,5415.000,7190.000,1433.000,2100.000,67.000,66.000,76.000,0.000
2473739.000,123027.000,61494.000,9350.000,13050.000,10562.000,8186.000,9035.000,84.000,54.000,118.000,0.000
2240421.000,262944.000,38938.000,27386.000,25540.000,16605.000,8357.000,2552.000,77.000,56.000,43.000,0.000
39515.000,15011.000,5104.000,998.000,902.000,992.000,789.000,165.000,60.000,44.000,52.000,0.000
1126470.000,440599.000,118883.000,12478.000,54646.000,24346.000,12695.000,2398.000,43.000,43.000,80.000,0.000
1691152.000,169100.000,11150.000,23955.000,32504.000,17260.000,30785.000,4216.000,24.000,35.000,8.000,0.000
482209.000,128957.000,84938.000,37428.000,33325.000,31322.000,18036.000,5244.000,29.000,23.000,-65.000,0.000
1345192.000,31556.000,24074.000,37642.000,15790.000,9194.000,5781.000,1968.000,38.000,35.000,131.000,0.000
269158.000,5974.000,7173.000,12929.000,5934.000,13049.000,2649.000,1574.000,44.000,50.000,20.000,0.000
384766.000,129721.000,41702.000,22956.000,20151.000,21219.000,12240.000,5726.000,69.000,61.000,58.000,0.000
712237.000,86936.000,65103.000,6594.000,61800.000,19420.000,4867.000,7622.000,74.000,70.000,51.000,0.000
526414.000,135330.000,25206.000,23859.000,2740.000,17982.000,8283.000,4476.000,74.000,66.000,-206.000,0.000
160710.000,30865.000,1370.000,18979.000,4876.000,4483.000,1809.000,519.000,74.000,50.000,132.000,0.000
1427696.000,229523.000,75660.000,18651.000,6148.000,14302.000,10384.000,10806.000,56.000,44.000,-6.000,0.000
