delta,theta,lowAlpha,highAlpha,lowBeta,highBeta,lowGamma,midGamma,attention,meditation,rawValue,blinkStrength
300986.000,41654.000,16435.000,22535.000,4014.000,6149.000,4292.000,2744.000,21.000,34.000,23.000,0.000
1909929.000,1001439.000,53662.000,34192.000,97409.000,85318.000,35806.000,22185.000,14.000,44.000,49.000,0.000
1322288.000,198599.000,70481.000,18512.000,48073.000,16961.000,36375.000,4988.000,11.000,29.000,-253.000,0.000
257223.000,16078.000,1731.000,2288.000,3406.000,874.000,649.000,646.000,8.000,43.000,17.000,0.000
1408822.000,39269.000,52325.000,41343.000,66081.000,25843.000,16033.000,1337.000,8.000,67.000,76.000,0.000
303679.000,69871.000,28270.000,36284.000,31086.000,30508.000,13385.000,5105.000,16.000,64.000,5.000,0.000
256219.000,57231.000,22566.000,13799.000,4897.000,6399.000,1751.000,1084.000,26.000,88.000,133.000,0.000
109859.000,83572.000,3166.000,8308.000,3548.000,7389.000,2500.000,1106.000,26.000,94.000,-204.000,0.000
649098.000,55693.000,13333.000,13302.000,10725.000,3930.000,3734.000,1554.000,34.000,88.000,49.000,0.000
243089.000,43824.000,20111.000,6503.000,8311.000,5556.000,3324.000,830.000,20.000,81.000,1.000,0.000
1711593.000,210295.000,54407.000,52517.000,10761.000,39943.000,10914.000,5700.000,10.000,81.000,122.000,0.000
125851.000,50586.000,5513.000,1207.000,3319.000,2684.000,3100.000,918.000,16.000,78.000,-145.000,0.000
773475.000,62159.000,45743.000,26581.000,32042.000,14395.000,7049.000,8836.000,11.000,78.000,41.000,0.000
462615.000,112485.000,30182.000,51479.000,20709.000,38249.000,5426.000,2908.000,20.000,84.000,90.000,0.000
48203.000,31644.000,9090.000,5297.000,5861.000,3841.000,1501.000,1414.000,30.000,87.000,-3.000,0.000
160369.000,49486.000,11474.000,5938.000,20038.000,11677.000,2659.000,682.000,27.000,84.000,136.000,0.000
43685.000,185864.000,77429.000,15284.000,42285.000,23677.000,14134.000,6002.000,40.000,91.000,-114.000,0.000
888588.000,49432.000,6286.000,17612.000,11868.000,7611.000,2381.000,1155.000,38.000,84.000,212.000,0.000
59850.000,36243.000,2273.000,3580.000,3234.000,3581.000,3892.000,1505.000,29.000,80.000,-23.000,0.000
